sec,nanosec,parent_frame,child_frame,x,y,z,qx,qy,qz,qw
102,611000000,ground_truth,base_link_truth,8.944139457872625,13.603594240406192,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,645000000,ground_truth,base_link_truth,8.944495967724192,13.613626237710566,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,679000000,ground_truth,base_link_truth,8.94485247757576,13.62365823501494,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,713000000,ground_truth,base_link_truth,8.945208987427284,13.633690232319267,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,713000000,ground_truth,base_link_truth,8.945208987427284,13.633690232319267,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,713000000,ground_truth,base_link_truth,8.945208987427284,13.633690232319267,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,747000000,ground_truth,base_link_truth,8.945565497278851,13.643722229623641,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,815000000,ground_truth,base_link_truth,8.946278516981943,13.663786224232343,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,815000000,ground_truth,base_link_truth,8.946278516981943,13.663786224232343,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,849000000,ground_truth,base_link_truth,8.94663502683351,13.673818221536717,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,917000000,ground_truth,base_link_truth,8.947358532120472,13.694177274889665,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,917000000,ground_truth,base_link_truth,8.947358532120472,13.694177274889665,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,917000000,ground_truth,base_link_truth,8.947358532120472,13.694177274889665,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
102,951000000,ground_truth,base_link_truth,8.947715041972039,13.704209272194039,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,53000000,ground_truth,base_link_truth,8.948784571526698,13.734305264107114,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,53000000,ground_truth,base_link_truth,8.948784571526698,13.734305264107114,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,53000000,ground_truth,base_link_truth,8.948784571526698,13.734305264107114,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,53000000,ground_truth,base_link_truth,8.948784571526698,13.734305264107114,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,87000000,ground_truth,base_link_truth,8.949141081378265,13.744337261411488,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,121000000,ground_truth,base_link_truth,8.94949759122979,13.754369258715816,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,121000000,ground_truth,base_link_truth,8.94949759122979,13.754369258715816,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,155000000,ground_truth,base_link_truth,8.949854101081357,13.76440125602019,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,189000000,ground_truth,base_link_truth,8.950210610932924,13.774433253324563,0.49999999999999994,0.0,0.0,0.6944368737655267,0.7195536313262284
103,223000000,ground_truth,base_link_truth,8.948949160759861,13.748494496517283,0.5000004460686526,-4.261012390637422e-06,5.570944343608541e-06,0.668952203092651,0.7433054216997862
103,223000000,ground_truth,base_link_truth,8.948949160759861,13.748494496517283,0.5000004460686526,-4.261012390637422e-06,5.570944343608541e-06,0.668952203092651,0.7433054216997862
103,223000000,ground_truth,base_link_truth,8.948949160759861,13.748494496517283,0.5000004460686526,-4.261012390637422e-06,5.570944343608541e-06,0.668952203092651,0.7433054216997862
